t_anchor_s,nodes,status,unresolved_parents,max_layer,layers_agree,reason,run_id
-360.0,2,OK,0,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618",linear_blackhole_20260917_125131
-269.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-268.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-267.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-266.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-265.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-264.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-263.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-262.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-261.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-260.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-259.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-258.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-257.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-256.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-255.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-254.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-253.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-252.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-251.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-250.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-249.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-248.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-247.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-246.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-245.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-244.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-243.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-242.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-241.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-240.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-239.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-238.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-237.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-236.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-235.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-234.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-233.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-232.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-231.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-230.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-229.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-228.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-227.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-226.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-225.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-224.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-223.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-222.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-221.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-220.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-219.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-218.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-217.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-216.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-215.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
